PO,ROUTED,READY,CUSTOMER,DIV,WH,A. DATE,S. DATE,C. DATE,PICKUP DATE,WH. SHIP DATE,T. QTY,O. QTY,P. QTY,SH. QTY,RT,FLL,FLT,PRT,UCC,PLL,SK,NOTES,C. REACHED,CARRIER,CONFIRMATION,BOL,P. DATE,P. TIME
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
"10664225","false","true","ROSSSTORES","MJ","SM","","10/24/2023","10/29/2023","","8/31/2023","600","","600","","false","false","false","false","false","false","false","","","","","","",""
